PIR	27.11	15.6	2.13	3.18
NIR	27.22	20.66	2.18	3.17
+ mem	9.27	15.24	3.07	12.74
- mem	9.27	20.71	3.07	12.96
coop	22.14	9.73	3.41	12.57
- process	22.07	25.87	3.07	12.38
+ expect	35.14	15.09	3.07	12.53
- expect	35.09	20.73	3.07	12.58
crosscut	11.48	4.33	3.04	7.87
norms	2.11	1.92	3.3	6.81
p-edu	11.89	0.31	2.17	6.81
shared id	25.73	1.53	3.59	6.81
p-ceremo	47.74	7.14	3.04	7.87
p-vision	37.78	0.31	2.17	6.81
gov	37.25	4.33	3.04	7.87
p-leaders	51.02	1.85	3.28	6.81
justice	11.48	31.39	3.04	7.87
= resourc	10.68	40.55	2.17	10.55
law	14.26	36.1	2.17	6.81
safety	37.25	31.39	3.04	7.87
info flow	2.11	34.74	2.17	6.81
needs	25.35	35.82	2.17	7.51
sustain	25.44	39.72	2.17	6.81
- violence	41.33	36.54	2.17	8.72
